date,land,confirmed,dead,name,iso_code,capital,area,population,dow,weekend,confirmed_avg3,confirmed_change,confirmed_change_avg3,confirmed_change_3w,confirmed_change_pct,confirmed_change_pct_avg3,confirmed_change_pct_3w,confirmed_change_acceleration,confirmed_change_acceleration_avg3,confirmed_doubling_days,confirmed_doubling_days_3w,confirmed_doubling_days_avg3,confirmed_doubling_days_3w_avg3,confirmed_active_cases,confirmed_peak,confirmed_day_since_10,confirmed_per_100k,confirmed_change_per_100k,dead_avg3,dead_change,dead_change_avg3,dead_change_3w,dead_change_pct,dead_change_pct_avg3,dead_change_pct_3w,dead_change_acceleration,dead_change_acceleration_avg3,dead_doubling_days,dead_doubling_days_3w,dead_doubling_days_avg3,dead_doubling_days_3w_avg3,dead_day_since_10,dead_per_100k,dead_change_per_100k
2020-03-18,Hesse,432,0,Hesse,HE,Wiesbaden,21115,6265809,2,False,,,,,,,,,,0.0,0.0,,,,,1,6.895,,,,,,,,,,,0.0,0.0,,,0,0.0,
2020-03-19,Hesse,682,0,Hesse,HE,Wiesbaden,21115,6265809,3,False,,250.0,,,0.579,,,,,1.518,0.0,,,,,2,10.884,3.99,,0.0,,,,,,,,0.0,0.0,,,0,0.0,0.0
2020-03-20,Hesse,813,1,Hesse,HE,Wiesbaden,21115,6265809,4,False,652.0,131.0,,,0.192,,,0.476,,3.945,0.0,2.0,0.0,,,3,12.975,2.091,0.0,1.0,,,inf,,,-inf,,0.0,0.0,0.0,0.0,0,0.016,0.016
2020-03-21,Hesse,1080,2,Hesse,HE,Wiesbaden,21115,6265809,5,True,847.0,267.0,195.0,,0.328,0.299,,-1.038,,2.441,0.0,3.0,0.0,,,4,17.236,4.261,1.0,1.0,1.0,,1.0,inf,,0.0,,1.0,0.0,0.0,0.0,0,0.032,0.016
2020-03-22,Hesse,1175,2,Hesse,HE,Wiesbaden,21115,6265809,6,True,1037.0,95.0,190.0,,0.088,0.224,,0.644,0.026,8.222,0.0,4.0,0.0,,,5,18.753,1.516,2.0,0.0,1.0,,0.0,1.0,,1.0,0.0,100.0,0.0,26.0,0.0,0,0.032,0.0
2020-03-23,Hesse,1347,3,Hesse,HE,Wiesbaden,21115,6265809,0,False,1194.0,172.0,157.0,,0.146,0.151,,-0.811,0.174,5.074,0.0,6.0,0.0,,,6,21.498,2.745,2.0,1.0,0.0,,0.5,0.0,,-inf,1.0,1.71,0.0,51.0,0.0,0,0.048,0.016
2020-03-24,Hesse,1620,4,Hesse,HE,Wiesbaden,21115,6265809,1,False,1372.0,273.0,178.0,,0.203,0.149,,-0.587,-0.134,3.756,0.0,6.0,0.0,,,7,25.855,4.357,3.0,1.0,1.0,,0.333,0.5,,0.0,-inf,2.409,0.0,26.0,0.0,0,0.064,0.016
2020-03-25,Hesse,1754,0,Hesse,HE,Wiesbaden,21115,6265809,2,False,1585.0,134.0,213.0,,0.083,0.155,,0.509,-0.197,8.722,0.0,5.0,0.0,,,8,27.993,2.139,3.0,-4.0,-0.0,,-1.0,-0.0,,5.0,1.0,0.0,0.0,2.0,0.0,0,0.0,-0.064
2020-03-26,Hesse,2157,6,Hesse,HE,Wiesbaden,21115,6265809,3,False,1821.0,403.0,236.0,,0.23,0.149,,-2.007,-0.108,3.352,0.0,6.0,0.0,,,9,34.425,6.432,2.0,6.0,-0.0,,inf,-0.0,,2.5,,0.0,0.0,1.0,0.0,0,0.096,0.096
2020-03-27,Hesse,2323,7,Hesse,HE,Wiesbaden,21115,6265809,4,False,2098.0,166.0,276.0,,0.077,0.152,,0.588,-0.169,9.349,0.0,6.0,0.0,,,10,37.074,2.649,5.0,1.0,2.0,,0.167,1.0,,0.833,inf,4.497,0.0,1.0,0.0,0,0.112,0.016
2020-03-28,Hesse,2604,9,Hesse,HE,Wiesbaden,21115,6265809,5,True,2352.0,281.0,254.0,,0.121,0.121,,-0.693,0.08,6.07,0.0,7.0,0.0,,,11,41.559,4.485,7.0,2.0,2.0,,0.286,0.4,,-1.0,0.0,2.758,0.0,3.0,0.0,0,0.144,0.032
2020-03-29,Hesse,2605,9,Hesse,HE,Wiesbaden,21115,6265809,6,True,2534.0,1.0,182.0,,0.0,0.077,,0.996,0.283,100.0,0.0,30.0,0.0,,,12,41.575,0.016,8.0,0.0,1.0,,0.0,0.143,,1.0,0.5,100.0,0.0,28.0,0.0,0,0.144,0.0
2020-03-30,Hesse,3091,13,Hesse,HE,Wiesbaden,21115,6265809,0,False,2726.0,486.0,192.0,,0.187,0.076,,-485.0,-0.055,4.052,0.0,53.0,0.0,2659.0,1.968,13,49.331,7.756,10.0,4.0,2.0,,0.444,0.25,,-inf,-1.0,1.885,0.0,51.0,0.0,1,0.207,0.064
2020-03-31,Hesse,3283,17,Hesse,HE,Wiesbaden,21115,6265809,1,False,3018.0,192.0,291.0,,0.062,0.107,,0.605,-0.516,11.502,0.0,30.0,0.0,2601.0,1.571,14,52.396,3.064,13.0,4.0,3.0,,0.308,0.3,,0.0,-0.5,2.584,0.0,27.0,0.0,2,0.271,0.064
2020-04-01,Hesse,3445,21,Hesse,HE,Wiesbaden,21115,6265809,2,False,3276.0,162.0,258.0,,0.049,0.085,,0.156,0.113,14.391,0.0,10.0,0.0,2632.0,1.444,15,54.981,2.585,17.0,4.0,4.0,,0.235,0.308,,0.0,-0.333,3.28,0.0,3.0,0.0,3,0.335,0.064
2020-04-02,Hesse,3707,27,Hesse,HE,Wiesbaden,21115,6265809,3,False,3470.0,262.0,194.0,,0.076,0.059,,-0.617,0.248,9.456,0.0,12.0,0.0,2627.0,1.233,16,59.162,4.181,22.0,6.0,4.0,,0.286,0.235,,-0.5,0.0,2.758,0.0,3.0,0.0,4,0.431,0.096
2020-04-03,Hesse,3993,33,Hesse,HE,Wiesbaden,21115,6265809,4,False,3713.0,286.0,243.0,,0.077,0.07,,-0.092,-0.253,9.326,0.0,11.0,0.0,2818.0,1.223,17,63.727,4.564,27.0,6.0,6.0,,0.222,0.273,,0.0,-0.5,3.454,0.0,3.0,0.0,5,0.527,0.096
2020-04-04,Hesse,4279,42,Hesse,HE,Wiesbaden,21115,6265809,5,True,3993.0,286.0,280.0,,0.072,0.075,,0.0,-0.152,10.02,0.0,10.0,0.0,2932.0,1.156,18,68.291,4.564,34.0,9.0,7.0,,0.273,0.259,,-0.5,-0.167,2.874,0.0,3.0,0.0,6,0.67,0.144
2020-04-05,Hesse,4575,56,Hesse,HE,Wiesbaden,21115,6265809,6,True,4282.0,296.0,288.0,,0.069,0.072,,-0.035,-0.029,10.363,0.0,10.0,0.0,2955.0,1.038,19,73.015,4.724,43.0,14.0,10.0,,0.333,0.294,,-0.556,-0.429,2.409,0.0,3.0,0.0,7,0.894,0.223
2020-04-06,Hesse,4674,61,Hesse,HE,Wiesbaden,21115,6265809,0,False,4526.0,99.0,244.0,,0.022,0.057,,0.666,0.153,32.377,0.0,16.0,0.0,2920.0,0.98,20,74.595,1.58,54.0,5.0,10.0,,0.089,0.233,,0.643,0.0,8.105,0.0,4.0,0.0,8,0.974,0.08
2020-04-07,Hesse,4837,73,Hesse,HE,Wiesbaden,21115,6265809,1,False,4690.0,163.0,164.0,,0.035,0.036,,-0.646,0.328,20.22,0.0,24.0,0.0,2680.0,0.808,21,77.197,2.601,63.0,12.0,9.0,,0.197,0.167,,-1.4,0.1,3.86,0.0,6.0,0.0,9,1.165,0.192
2020-04-08,Hesse,4965,84,Hesse,HE,Wiesbaden,21115,6265809,2,False,4828.0,128.0,138.0,4533.0,0.026,0.029,,0.215,0.159,26.538,0.0,25.0,0.0,2642.0,0.76,22,79.24,2.043,73.0,11.0,10.0,84.0,0.151,0.159,,0.083,-0.111,4.938,0.0,5.0,0.0,10,1.341,0.176
2020-04-09,Hesse,5242,100,Hesse,HE,Wiesbaden,21115,6265809,3,False,5002.0,277.0,174.0,4560.0,0.056,0.036,0.061,-1.164,-0.261,12.768,11.686,22.0,3.0,2638.0,0.7,23,83.661,4.421,85.0,16.0,12.0,100.0,0.19,0.164,0.19,-0.455,-0.2,3.976,3.976,4.0,1.0,11,1.596,0.255
2020-04-10,Hesse,5694,111,Hesse,HE,Wiesbaden,21115,6265809,4,False,5286.0,452.0,284.0,4881.0,0.086,0.057,0.099,-0.632,-0.632,8.38,7.334,15.0,8.0,3089.0,0.782,24,90.874,7.214,99.0,11.0,14.0,110.0,0.11,0.165,0.11,0.312,-0.167,6.642,6.642,5.0,4.0,12,1.772,0.176
2020-04-11,Hesse,5808,120,Hesse,HE,Wiesbaden,21115,6265809,5,True,5610.0,114.0,324.0,4728.0,0.02,0.061,0.023,0.748,-0.141,34.966,30.023,16.0,14.0,2717.0,0.631,25,92.694,1.819,110.0,9.0,12.0,118.0,0.081,0.121,0.082,0.182,0.143,8.891,8.814,7.0,7.0,13,1.915,0.144
2020-04-12,Hesse,5859,123,Hesse,HE,Wiesbaden,21115,6265809,6,True,5792.0,51.0,183.0,4684.0,0.009,0.033,0.011,0.553,0.435,79.283,64.605,39.0,33.0,2576.0,0.579,26,93.508,0.814,118.0,3.0,8.0,121.0,0.025,0.073,0.025,0.667,0.333,28.071,27.609,13.0,13.0,14,1.963,0.048
2020-04-13,Hesse,6114,135,Hesse,HE,Wiesbaden,21115,6265809,0,False,5910.0,255.0,118.0,4767.0,0.044,0.02,0.054,-4.0,0.355,16.27,13.076,52.0,43.0,2669.0,0.574,27,97.577,4.07,125.0,12.0,7.0,132.0,0.098,0.059,0.099,-3.0,0.125,7.446,7.33,18.0,18.0,15,2.155,0.192
2020-04-14,Hesse,6183,147,Hesse,HE,Wiesbaden,21115,6265809,1,False,6068.0,69.0,158.0,4563.0,0.011,0.027,0.014,0.729,-0.339,61.765,48.233,43.0,35.0,2476.0,0.512,28,98.679,1.101,135.0,12.0,10.0,143.0,0.089,0.08,0.091,0.0,-0.429,8.14,7.966,13.0,13.0,16,2.346,0.192
2020-04-15,Hesse,6347,173,Hesse,HE,Wiesbaden,21115,6265809,2,False,6207.0,164.0,139.0,4593.0,0.027,0.023,0.036,-1.377,0.12,26.478,19.63,42.0,32.0,2354.0,0.463,29,101.296,2.617,150.0,26.0,16.0,173.0,0.177,0.119,0.182,-1.167,-0.6,4.256,4.149,7.0,7.0,17,2.761,0.415
2020-04-16,Hesse,6470,187,Hesse,HE,Wiesbaden,21115,6265809,3,False,6337.0,123.0,130.0,4313.0,0.019,0.021,0.027,0.25,0.065,36.113,26.228,38.0,28.0,2191.0,0.413,30,103.259,1.963,170.0,14.0,20.0,181.0,0.081,0.133,0.081,0.462,-0.25,8.907,8.907,6.0,6.0,18,2.984,0.223
2020-04-17,Hesse,6705,197,Hesse,HE,Wiesbaden,21115,6265809,4,False,6498.0,235.0,161.0,4382.0,0.036,0.025,0.054,-0.911,-0.238,19.428,13.065,30.0,21.0,2130.0,0.382,31,107.009,3.751,186.0,10.0,16.0,190.0,0.053,0.094,0.055,0.286,0.2,13.305,12.889,9.0,9.0,19,3.144,0.16
2020-04-18,Hesse,6916,212,Hesse,HE,Wiesbaden,21115,6265809,5,True,6699.0,211.0,201.0,4312.0,0.031,0.031,0.048,0.102,-0.248,22.371,14.739,24.0,17.0,2242.0,0.392,32,110.377,3.367,198.0,15.0,12.0,203.0,0.076,0.065,0.079,-0.5,0.25,9.446,9.122,11.0,11.0,20,3.383,0.239
2020-04-19,Hesse,7108,230,Hesse,HE,Wiesbaden,21115,6265809,6,True,6911.0,192.0,212.0,4503.0,0.028,0.032,0.045,0.09,-0.055,25.313,15.911,22.0,15.0,2271.0,0.385,33,113.441,3.064,213.0,18.0,14.0,221.0,0.085,0.071,0.089,-0.2,-0.167,8.506,8.159,10.0,10.0,21,3.671,0.287
2020-04-20,Hesse,7177,240,Hesse,HE,Wiesbaden,21115,6265809,0,False,7077.0,69.0,166.0,4086.0,0.01,0.024,0.015,0.641,0.217,71.75,45.581,36.0,23.0,2212.0,0.368,34,114.542,1.101,228.0,10.0,15.0,227.0,0.043,0.07,0.045,0.444,-0.071,16.286,15.663,11.0,10.0,22,3.83,0.16
2020-04-21,Hesse,7231,251,Hesse,HE,Wiesbaden,21115,6265809,1,False,7173.0,54.0,96.0,3948.0,0.008,0.014,0.013,0.217,0.422,92.47,52.794,65.0,40.0,1989.0,0.322,35,115.404,0.862,240.0,11.0,12.0,234.0,0.046,0.053,0.048,-0.1,0.2,15.467,14.648,14.0,14.0,23,4.006,0.176
2020-04-22,Hesse,7380,265,Hesse,HE,Wiesbaden,21115,6265809,2,False,7255.0,149.0,82.0,3935.0,0.021,0.011,0.038,-1.759,0.146,33.984,18.71,73.0,42.0,1686.0,0.259,36,117.782,2.378,252.0,14.0,12.0,244.0,0.056,0.05,0.06,-0.273,0.0,12.771,11.929,15.0,14.0,24,4.229,0.223
2020-04-23,Hesse,7593,286,Hesse,HE,Wiesbaden,21115,6265809,3,False,7396.0,213.0,141.0,3886.0,0.029,0.019,0.054,-0.43,-0.72,24.361,13.149,46.0,26.0,1785.0,0.268,37,121.182,3.399,267.0,21.0,15.0,259.0,0.079,0.06,0.086,-0.5,-0.25,9.089,8.396,13.0,12.0,25,4.564,0.335
2020-04-24,Hesse,7712,296,Hesse,HE,Wiesbaden,21115,6265809,4,False,7570.0,119.0,174.0,3719.0,0.016,0.024,0.031,0.441,-0.234,44.573,22.98,32.0,17.0,1853.0,0.275,38,123.081,1.899,283.0,10.0,16.0,263.0,0.035,0.06,0.039,0.524,-0.067,20.169,18.297,13.0,12.0,26,4.724,0.16
2020-04-25,Hesse,7837,305,Hesse,HE,Wiesbaden,21115,6265809,5,True,7714.0,125.0,144.0,3558.0,0.016,0.019,0.034,-0.05,0.172,43.11,20.967,39.0,20.0,1723.0,0.248,39,125.076,1.995,296.0,9.0,12.0,263.0,0.03,0.042,0.034,0.1,0.25,23.142,20.6,18.0,16.0,27,4.868,0.144
2020-04-26,Hesse,7946,315,Hesse,HE,Wiesbaden,21115,6265809,6,True,7833.0,109.0,120.0,3371.0,0.014,0.016,0.031,0.128,0.167,50.182,22.971,45.0,22.0,1763.0,0.251,40,126.815,1.74,305.0,10.0,10.0,259.0,0.033,0.034,0.038,-0.111,0.167,21.486,18.574,22.0,20.0,28,5.027,0.16
2020-04-27,Hesse,7979,320,Hesse,HE,Wiesbaden,21115,6265809,0,False,7927.0,33.0,94.0,3305.0,0.004,0.012,0.01,0.697,0.217,100.0,71.152,61.0,35.0,1632.0,0.229,41,127.342,0.527,314.0,5.0,8.0,259.0,0.016,0.026,0.019,0.5,0.2,44.014,36.25,28.0,23.0,29,5.107,0.08
2020-04-28,Hesse,8026,333,Hesse,HE,Wiesbaden,21115,6265809,1,False,7982.0,47.0,56.0,3189.0,0.006,0.007,0.014,-0.424,0.404,100.0,49.087,88.0,54.0,1556.0,0.216,42,128.092,0.75,322.0,13.0,8.0,260.0,0.041,0.025,0.05,-1.6,0.0,17.406,14.153,32.0,26.0,30,5.315,0.207
2020-04-29,Hesse,8184,346,Hesse,HE,Wiesbaden,21115,6265809,2,False,8054.0,158.0,71.0,3219.0,0.02,0.009,0.05,-2.362,-0.268,35.556,14.334,84.0,46.0,1479.0,0.199,43,130.614,2.522,333.0,13.0,11.0,262.0,0.039,0.034,0.05,0.0,-0.375,18.1,14.207,24.0,20.0,31,5.522,0.207
2020-04-30,Hesse,8304,353,Hesse,HE,Wiesbaden,21115,6265809,3,False,8174.0,120.0,121.0,3062.0,0.015,0.015,0.037,0.241,-0.704,47.618,18.938,55.0,24.0,1388.0,0.183,44,132.529,1.915,344.0,7.0,12.0,253.0,0.02,0.036,0.027,0.462,-0.091,34.607,26.289,22.0,17.0,32,5.634,0.112
2020-05-01,Hesse,8376,360,Hesse,HE,Wiesbaden,21115,6265809,4,False,8292.0,72.0,118.0,2682.0,0.009,0.014,0.024,0.4,0.025,80.289,29.823,53.0,21.0,1268.0,0.164,45,133.678,1.149,353.0,7.0,8.0,249.0,0.02,0.023,0.028,0.0,0.333,35.3,25.397,31.0,23.0,33,5.745,0.112
2020-05-02,Hesse,8486,364,Hesse,HE,Wiesbaden,21115,6265809,5,True,8386.0,110.0,94.0,2678.0,0.013,0.011,0.041,-0.528,0.203,53.126,17.244,65.0,24.0,1309.0,0.168,46,135.434,1.756,359.0,4.0,6.0,244.0,0.011,0.017,0.016,0.429,0.25,62.729,43.494,42.0,30.0,34,5.809,0.064
2020-05-03,Hesse,8524,370,Hesse,HE,Wiesbaden,21115,6265809,6,True,8468.0,38.0,82.0,2665.0,0.004,0.01,0.014,0.655,0.128,100.0,49.194,72.0,28.0,1293.0,0.165,47,136.04,0.606,364.0,6.0,5.0,247.0,0.016,0.014,0.025,-0.5,0.167,42.397,28.533,51.0,35.0,35,5.905,0.096
2020-05-04,Hesse,8549,372,Hesse,HE,Wiesbaden,21115,6265809,0,False,8521.0,25.0,53.0,2435.0,0.003,0.006,0.009,0.342,0.354,100.0,74.236,88.0,47.0,1169.0,0.147,48,136.439,0.399,369.0,2.0,4.0,237.0,0.005,0.011,0.008,0.667,0.2,100.0,85.95,62.0,47.0,36,5.937,0.032
2020-05-05,Hesse,8585,381,Hesse,HE,Wiesbaden,21115,6265809,1,False,8552.0,36.0,31.0,2402.0,0.004,0.004,0.015,-0.44,0.415,100.0,47.229,100.0,61.0,992.0,0.123,49,137.014,0.575,374.0,9.0,5.0,234.0,0.024,0.014,0.038,-3.5,-0.25,28.995,18.597,68.0,55.0,37,6.081,0.144
2020-05-06,Hesse,8642,386,Hesse,HE,Wiesbaden,21115,6265809,2,False,8590.0,57.0,38.0,2295.0,0.007,0.004,0.024,-0.583,-0.226,100.0,29.555,100.0,50.0,930.0,0.114,50,137.923,0.91,380.0,5.0,6.0,213.0,0.013,0.016,0.021,0.444,-0.2,53.164,32.785,53.0,39.0,38,6.16,0.08
2020-05-07,Hesse,8736,396,Hesse,HE,Wiesbaden,21115,6265809,3,False,8651.0,94.0,61.0,2266.0,0.011,0.007,0.041,-0.649,-0.605,64.071,17.267,91.0,31.0,899.0,0.109,51,139.424,1.5,387.0,10.0,7.0,209.0,0.026,0.018,0.047,-1.0,-0.167,27.101,15.108,41.0,25.0,39,6.32,0.16
2020-05-08,Hesse,8850,403,Hesse,HE,Wiesbaden,21115,6265809,4,False,8741.0,114.0,90.0,2145.0,0.013,0.01,0.05,-0.213,-0.475,53.463,14.122,70.0,20.0,904.0,0.108,52,141.243,1.819,395.0,7.0,8.0,206.0,0.018,0.021,0.033,0.3,-0.143,39.558,21.04,37.0,21.0,40,6.432,0.112
2020-05-09,Hesse,8916,408,Hesse,HE,Wiesbaden,21115,6265809,5,True,8838.0,66.0,97.0,2000.0,0.007,0.011,0.031,0.421,-0.078,93.291,22.872,66.0,17.0,937.0,0.111,53,142.296,1.053,402.0,5.0,7.0,196.0,0.012,0.018,0.024,0.286,0.125,56.214,28.903,41.0,22.0,41,6.512,0.08
2020-05-10,Hesse,8998,411,Hesse,HE,Wiesbaden,21115,6265809,6,True,8920.0,82.0,82.0,1890.0,0.009,0.009,0.041,-0.242,0.155,75.713,17.25,79.0,19.0,972.0,0.114,54,143.605,1.309,408.0,3.0,5.0,181.0,0.007,0.012,0.015,0.4,0.286,94.614,45.631,62.0,31.0,42,6.559,0.048
2020-05-11,Hesse,9012,412,Hesse,HE,Wiesbaden,21115,6265809,0,False,8981.0,14.0,61.0,1835.0,0.002,0.007,0.007,0.829,0.256,100.0,93.921,86.0,38.0,828.0,0.096,55,143.828,0.223,410.0,1.0,3.0,172.0,0.002,0.007,0.006,0.667,0.4,100.0,100.0,86.0,55.0,43,6.575,0.016
2020-03-18,Schleswig-Holstein,159,0,Schleswig-Holstein,SH,Kiel,15803,2896712,2,False,,,,,,,,,,0.0,0.0,,,,,1,5.489,,,,,,,,,,,0.0,0.0,,,0,0.0,
2020-03-19,Schleswig-Holstein,202,0,Schleswig-Holstein,SH,Kiel,15803,2896712,3,False,,43.0,,,0.27,,,,,2.896,0.0,,,,,2,6.973,1.484,,0.0,,,,,,,,0.0,0.0,,,0,0.0,0.0
2020-03-20,Schleswig-Holstein,266,1,Schleswig-Holstein,SH,Kiel,15803,2896712,4,False,207.0,64.0,,,0.317,,,-0.488,,2.518,0.0,2.0,0.0,,,3,9.183,2.209,0.0,1.0,,,inf,,,-inf,,0.0,0.0,0.0,0.0,0,0.035,0.035
2020-03-21,Schleswig-Holstein,308,1,Schleswig-Holstein,SH,Kiel,15803,2896712,5,True,260.0,42.0,53.0,,0.158,0.256,,0.344,,4.728,0.0,3.0,0.0,,,4,10.633,1.45,1.0,0.0,0.0,,0.0,,,1.0,,100.0,0.0,25.0,0.0,0,0.035,0.0
2020-03-22,Schleswig-Holstein,347,1,Schleswig-Holstein,SH,Kiel,15803,2896712,6,True,307.0,39.0,47.0,,0.127,0.181,,0.071,0.113,5.814,0.0,4.0,0.0,,,5,11.979,1.346,1.0,0.0,0.0,,0.0,0.0,,,,100.0,0.0,75.0,0.0,0,0.035,0.0
2020-03-23,Schleswig-Holstein,383,1,Schleswig-Holstein,SH,Kiel,15803,2896712,0,False,346.0,36.0,39.0,,0.104,0.127,,0.077,0.17,7.022,0.0,6.0,0.0,,,6,13.222,1.243,1.0,0.0,0.0,,0.0,0.0,,,,100.0,0.0,100.0,0.0,0,0.035,0.0
2020-03-24,Schleswig-Holstein,478,2,Schleswig-Holstein,SH,Kiel,15803,2896712,1,False,398.0,95.0,52.0,,0.248,0.15,,-1.639,-0.333,3.128,0.0,6.0,0.0,,,7,16.502,3.28,1.0,1.0,0.0,,1.0,0.0,,-inf,,1.0,0.0,75.0,0.0,0,0.069,0.035
2020-03-25,Schleswig-Holstein,577,0,Schleswig-Holstein,SH,Kiel,15803,2896712,2,False,479.0,99.0,81.0,,0.207,0.204,,-0.042,-0.558,3.682,0.0,4.0,0.0,,,8,19.919,3.418,1.0,-2.0,0.0,,-1.0,0.0,,3.0,,0.0,0.0,26.0,0.0,0,0.0,-0.069
2020-03-26,Schleswig-Holstein,675,3,Schleswig-Holstein,SH,Kiel,15803,2896712,3,False,577.0,98.0,98.0,,0.17,0.205,,0.01,-0.21,4.419,0.0,4.0,0.0,,,9,23.302,3.383,1.0,3.0,0.0,,inf,0.0,,2.5,,0.0,0.0,0.0,0.0,0,0.104,0.104
2020-03-27,Schleswig-Holstein,812,4,Schleswig-Holstein,SH,Kiel,15803,2896712,4,False,685.0,137.0,108.0,,0.203,0.187,,-0.398,-0.102,3.751,0.0,4.0,0.0,,,10,28.032,4.73,2.0,1.0,1.0,,0.333,1.0,,0.667,-inf,2.409,0.0,1.0,0.0,0,0.138,0.035
2020-03-28,Schleswig-Holstein,915,4,Schleswig-Holstein,SH,Kiel,15803,2896712,5,True,804.0,103.0,119.0,,0.127,0.174,,0.248,-0.102,5.804,0.0,4.0,0.0,,,11,31.588,3.556,4.0,0.0,1.0,,0.0,0.5,,1.0,0.0,100.0,0.0,26.0,0.0,0,0.138,0.0
2020-03-29,Schleswig-Holstein,1005,6,Schleswig-Holstein,SH,Kiel,15803,2896712,6,True,912.0,90.0,108.0,,0.098,0.134,,0.126,0.092,7.388,0.0,6.0,0.0,,,12,34.695,3.107,4.0,2.0,1.0,,0.5,0.25,,-inf,0.0,1.71,0.0,51.0,0.0,0,0.207,0.069
2020-03-30,Schleswig-Holstein,1049,7,Schleswig-Holstein,SH,Kiel,15803,2896712,0,False,994.0,44.0,82.0,,0.044,0.09,,0.511,0.241,16.176,0.0,9.0,0.0,890.0,1.887,13,36.214,1.519,6.0,1.0,1.0,,0.167,0.25,,0.5,0.0,4.497,0.0,27.0,0.0,0,0.242,0.035
2020-03-31,Schleswig-Holstein,1120,9,Schleswig-Holstein,SH,Kiel,15803,2896712,1,False,1056.0,71.0,62.0,,0.068,0.062,,-0.614,0.244,10.584,0.0,13.0,0.0,918.0,1.713,14,38.665,2.451,7.0,2.0,2.0,,0.286,0.333,,-1.0,-1.0,2.758,0.0,3.0,0.0,0,0.311,0.069
2020-04-01,Schleswig-Holstein,1246,10,Schleswig-Holstein,SH,Kiel,15803,2896712,2,False,1134.0,126.0,78.0,,0.112,0.074,,-0.775,-0.258,6.502,0.0,11.0,0.0,980.0,1.544,15,43.014,4.35,9.0,1.0,2.0,,0.111,0.286,,0.5,0.0,6.579,0.0,4.0,0.0,0,0.345,0.035
2020-04-02,Schleswig-Holstein,1335,11,Schleswig-Holstein,SH,Kiel,15803,2896712,3,False,1237.0,89.0,103.0,,0.071,0.091,,0.294,-0.321,10.047,0.0,8.0,0.0,1027.0,1.467,16,46.087,3.072,10.0,1.0,1.0,,0.1,0.111,,0.0,0.5,7.272,0.0,6.0,0.0,1,0.38,0.035
2020-04-03,Schleswig-Holstein,1443,15,Schleswig-Holstein,SH,Kiel,15803,2896712,4,False,1340.0,108.0,103.0,,0.081,0.083,,-0.213,0.0,8.91,0.0,9.0,0.0,1096.0,1.425,17,49.815,3.728,12.0,4.0,2.0,,0.364,0.2,,-3.0,-1.0,2.235,0.0,6.0,0.0,2,0.518,0.138
2020-04-04,Schleswig-Holstein,1559,17,Schleswig-Holstein,SH,Kiel,15803,2896712,5,True,1445.0,116.0,105.0,,0.08,0.078,,-0.074,-0.019,8.965,0.0,9.0,0.0,1176.0,1.404,18,53.82,4.005,14.0,2.0,3.0,,0.133,0.25,,0.5,-0.5,5.538,0.0,4.0,0.0,3,0.587,0.069
2020-04-05,Schleswig-Holstein,1631,18,Schleswig-Holstein,SH,Kiel,15803,2896712,6,True,1548.0,72.0,103.0,,0.046,0.071,,0.379,0.019,15.352,0.0,11.0,0.0,1153.0,1.227,19,56.305,2.486,17.0,1.0,2.0,,0.059,0.143,,0.5,0.333,12.127,0.0,6.0,0.0,4,0.621,0.035
2020-04-06,Schleswig-Holstein,1671,20,Schleswig-Holstein,SH,Kiel,15803,2896712,0,False,1623.0,40.0,75.0,,0.025,0.048,,0.444,0.272,28.608,0.0,17.0,0.0,1094.0,1.063,20,57.686,1.381,18.0,2.0,2.0,,0.111,0.118,,-1.0,0.0,6.579,0.0,9.0,0.0,5,0.69,0.069
2020-04-07,Schleswig-Holstein,1730,24,Schleswig-Holstein,SH,Kiel,15803,2896712,1,False,1676.0,59.0,53.0,,0.035,0.033,,-0.475,0.293,19.976,0.0,23.0,0.0,1055.0,0.941,21,59.723,2.037,20.0,4.0,2.0,,0.2,0.111,,-1.0,0.0,3.802,0.0,7.0,0.0,6,0.829,0.138
2020-04-08,Schleswig-Holstein,1827,28,Schleswig-Holstein,SH,Kiel,15803,2896712,2,False,1740.0,97.0,64.0,1668.0,0.056,0.038,,-0.644,-0.208,12.706,0.0,20.0,0.0,1015.0,0.811,22,63.072,3.349,24.0,4.0,4.0,28.0,0.167,0.2,,0.0,-1.0,4.497,0.0,5.0,0.0,7,0.967,0.138
2020-04-09,Schleswig-Holstein,1932,34,Schleswig-Holstein,SH,Kiel,15803,2896712,3,False,1829.0,105.0,90.0,1730.0,0.057,0.052,0.063,-0.082,-0.406,12.404,11.354,14.0,3.0,1017.0,0.747,23,66.697,3.625,28.0,6.0,4.0,34.0,0.214,0.167,0.214,-0.5,0.0,3.57,3.57,4.0,1.0,8,1.174,0.207
2020-04-10,Schleswig-Holstein,2029,38,Schleswig-Holstein,SH,Kiel,15803,2896712,4,False,1930.0,97.0,101.0,1763.0,0.05,0.055,0.056,0.076,-0.122,14.15,12.706,13.0,9.0,1024.0,0.703,24,70.045,3.349,34.0,4.0,5.0,37.0,0.118,0.179,0.118,0.333,-0.25,6.232,6.232,4.0,3.0,9,1.312,0.138
